molecule,FEBo
1,-10.3
2,-8.8
3,-8.9
4,-8.6
5,-9.6
6,-10.7
7,-9.3
8,-8.3
9,-8.6
10,-6.5
11,-8.9
12,-8.8
13,-9.7
14,-7.1
15,-8.3
16,-8.4
17,-8.5
18,-8.4
19,-9.3
20,-7.6
21,-8.8
22,-9.2
23,-9.5
24,-8.9
25,-9.1
26,-9.4
27,-9.7
28,-9.7
29,-8.5
30,-9.7
31,-7
32,-8.8
33,-9.3
34,-9
35,-9
36,-8.9
37,-6.9
38,-9.1
39,-9
40,-7.7
41,-9
42,-8.7
43,-9.7
44,-9.3
45,-8
46,-8.8
47,-9.7
48,-8.6
49,-8.7
50,-9.8
51,-9.2
52,-9.4
53,-8.9
54,-8.2
55,-7.9
56,-8.8
57,-9.8
58,-9.4
59,-9
60,-6.3
61,-8.4
62,-8.2
63,-9.3
64,-9
65,-8.9
66,-9.6
67,-9.3
68,-8.6
69,-9.1
70,-9.8
71,-9.5
72,-8.1
73,-10
74,-9.9
75,-9.2
76,-8.7
77,-9.4
78,-8.4
79,-9.1
80,-9.1
81,-9.7
82,-8
83,-9.4
84,-9.9
85,-9.1
86,-8.8
87,-7.4
88,-8.3
89,-8
90,-9.9
91,-8.8
92,-9.8
93,-8.4
94,-9.6
95,-9.7
96,-7.8
97,-9.7
98,-8.7
99,-7.7
100,-9.6
101,-9.5
102,-8.6
103,-9.4
104,-9.5
105,-9.4
106,-9.1
107,-9.6
108,-8.3
109,-9
110,-8.5
111,-8.9
112,-9.4
113,-9
114,-9
115,-9.6
116,-9.5
117,-9.3
118,-8.2
119,-8.3
120,-9.1
121,-8.6
122,-9.4
123,-9.1
124,-9.3
125,-9
126,-9.7
127,-10
128,-8.9
129,-9.1
130,-9
131,-9.8
132,-8.9
133,-9.7
134,-9.1
135,-8.4
136,-9.4
137,-8.9
138,-8.3
139,-9.6
140,-8.4
141,-9.1
142,-8.9
143,-8.8
144,-8.4
145,-9.2
146,-7.3
147,-9.2
148,-8.2
149,-9
150,-8.6
151,-8.3
152,-7
153,-9.4
154,-9.9
155,-8.4
156,-9.6
157,-8.5
158,-7.5
159,-9.2
160,-9.2
161,-9.6
162,-9.4
163,-9.4
164,-9.7
165,-8.8
166,-9.5
167,-9.3
168,-9.1
169,-9.1
170,-7.6
171,-9.7
172,-9.6
173,-7.1
174,-8.7
175,-9.1
176,-9.3
177,-9.7
178,-9
179,-9.3
180,-9.2
181,-10
182,-9.5
183,-8.9
184,-9.3
185,-9.8
186,-8.8
187,-8.6
188,-8.2
189,-8.6
190,-9.3
191,-9.2
192,-9.8
193,-8.8
194,-9
195,-8.9
196,-9.1
197,-9.2
198,-8.7
199,-9.3
200,-9
201,-10.1
202,-10
203,-8.9
204,-8.6
205,-7.4
206,-8.6
207,-8.9
208,-9
209,-9.7
210,-9
211,-9.7
212,-8.5
213,-8.8
214,-8.8
215,-8.8
216,-8.9
217,-8.8
218,-9.2
219,-8.3
220,-7.8
221,-9.6
222,-9
223,-7.8
224,-8.4
225,-9.9
226,-7.7
227,-9.4
228,-9.5
229,-8.6
230,-9
231,-8.9
232,-9.7
233,-9.3
234,-9.1
235,-9.2
236,-9.1
237,-9.5
238,-7.9
239,-9.4
240,-8.7
241,-9.3
242,-9.1
243,-9.5
244,-10.1
245,-10.1
246,-9.8
247,-8.9
248,-9.5
249,-8.8
250,-9.5
251,-9
252,-9
253,-9.4
254,-9.2
255,-9.6
256,-8
257,-8.5
258,-8.4
259,-8.9
260,-9.7
261,-8.9
262,-8.6
263,-7.6
264,-9.1
265,-8.6
266,-7.6
267,-9.1
268,-10
269,-7.7
270,-9.9
271,-7.8
272,-8.7
273,-9.8
274,-8.9
275,-8.5
276,-8.6
277,-9.7
278,-8.1
279,-7.1
280,-8
281,-8.9
282,-9.2
283,-8.7
284,-8.6
285,-8.5
286,-8.6
287,-8.7
288,-7.8
289,-8.4
290,-8.6
291,-9.1
292,-8.5
293,-9
294,-9.1
295,-8.8
296,-8
297,-9.1
298,-9.9
299,-8.9
300,-7.6
301,-9
302,-8.8
303,-9.1
304,-8.9
305,-10.1
306,-9.3
307,-7.5
308,-8.9
309,-9.1
310,-9.6
311,-10.2
312,-8.9
313,-9.3
314,-9.1
315,-8.6
316,-10.3
317,-8.8
318,-9.7
319,-9.1
320,-9.5
321,-8.8
322,-8.9
323,-9.8
324,-8.6
325,-7.8
326,-9
327,-7.7
328,-6.8
329,-8.3
330,-8.8
331,-9.3
332,-9.1
333,-8.3
334,-9.2
335,-9.2
336,-9.2
337,-9.7
338,-9.8
339,-9.2
340,-9.5
341,-8.8
342,-9.2
343,-9.3
344,-8.8
345,-9.2
346,-9.2
347,-9.4
348,-9.4
349,-9.3
350,-9.6
351,-9.4
352,-8.6
353,-9.2
354,-9.4
355,-8.9
356,-9.2
357,-9.2
358,-9.3
359,-9.4
360,-8.5
361,-9.2
362,-8.7
363,-9.5
364,-9.4
365,-9.3
366,-9.5
367,-8.5
368,-6.9
369,-9
370,-8.8
371,-9.1
372,-9.9
373,-9.8
374,-9.5
375,-7.8
376,-9.6
377,-8.5
378,-9.6
379,-9.5
380,-8.6
381,-9
382,-9.1
383,-9.8
384,-8.8
385,-9.9
386,-9.2
387,-9
388,-8
389,-9.2
390,-9.2
391,-8.6
392,-9.1
393,-9.2
394,-9.1
395,-10.4
396,-9.9
397,-10.4
398,-8.7
399,-9.4
400,-9.6
401,-8.6
402,-9.2
403,-9.1
404,-9.3
405,-9.5
406,-9.8
407,-9.5
408,-9.9
409,-8.2
410,-7
411,-10
412,-9.2
413,-7.9
414,-9.4
415,-9.1
416,-9.1
417,-6.9
418,-9.8
419,-9
420,-8.1
421,-9.6
422,-9.5
423,-8.6
424,-8.2
425,-9.9
426,-9.8
427,-9.9
428,-9.1
429,-8.4
430,-9
431,-8.6
432,-8.1
433,-9
434,-9.1
435,-9
436,-8.4
437,-8.7
438,-9.2
439,-8.8
440,-9.6
441,-8.7
442,-10
443,-8.6
444,-7.5
445,-9.2
446,-10.1
447,-8.9
448,-8.7
449,-9.2
450,-8.6
451,-9.5
452,-9.3
453,-9.3
454,-8.3
455,-7.7
456,-9.5
457,-9.1
458,-8.9
459,-8.6
460,-8.3
461,-10
462,-7.1
463,-7.8
464,-9.4
465,-7.9
466,-8.7
467,-9.9
468,-10.2
469,-8.7
470,-9.7
471,-8.7
472,-7.9
473,-8.8
474,-9.9
475,-9.6
476,-9.1
477,-9.4
478,-8.7
479,-9.6
480,-9.2
481,-9.4
482,-7.3
483,-9.1
484,-9.5
485,-9.4
486,-9.8
487,-9.4
488,-9.6
489,-8.8
490,-9
491,-9.9
492,-10
493,-8.8
494,-9.5
495,-9.1
496,-9
497,-9
498,-8.5
499,-9.4
500,-9.3
501,-7
502,-7.7
503,-9.8
504,-9.1
505,-9.3
506,-8.9
507,-8.9
508,-9.5
509,-9.2
510,-8.9
511,-9.3
512,-9.6
513,-9.2
514,-9.1
515,-9.6
516,-9.3
517,-9.5
518,-10.4
519,-9
520,-9.3
521,-9.4
522,-8.3
523,-8.7
524,-9.4
525,-9.6
526,-9.1
527,-10.4
528,-8.6
529,-9.3
530,-8.5
531,-8.6
532,-9.8
533,-8.9
534,-9.2
535,-9
536,-9.6
537,-9.5
538,-9.4
539,-10
540,-8.5
541,-8.6
542,-8.9
543,-8.8
544,-8.2
545,-8.3
546,-9.4
547,-10.1
548,-9.3
549,-8.9
550,-7.4
551,-8.5
552,-9.8
553,-8.3
554,-8.5
555,-8.2
556,-9.7
557,-9.3
558,-8.2
559,-8
560,-8.9
561,-9.1
562,-9
563,-8
564,-8.2
565,-8.8
566,-8.5
567,-9.6
568,-8.8
569,-9.9
570,-9.7
571,-8.8
572,-9.1
573,-9.8
574,-9.8
575,-9.3
576,-9.4
577,-9.6
578,-9
579,-8.7
580,-8.9
581,-9.2
582,-9
583,-10.4
584,-9.4
585,-10.3
586,-9.3
587,-8.9
588,-9.4
589,-9
590,-9.3
591,-9.3
592,-9.7
593,-8.4
594,-9.8
595,-9.1
596,-8.1
597,-9.1
598,-8.6
599,-8.1
600,-10.4
601,-9.4
602,-9
603,-9.3
604,-7.9
605,-8.2
606,-9.1
607,-9.4
608,-9.5
609,-9.8
610,-8.5
611,-9.1
612,-9.3
613,-8.8
614,-9
615,-9.8
616,-10.6
617,-9.5
618,-8.7
619,-10.6
620,-8.3
621,-7.9
622,-9.4
623,-10
624,-8.7
625,-8.7
626,-8.4
627,-9
628,-9.3
629,-8.5
630,-7.8
631,-9.2
632,-8.2
633,-10.2
634,-9.2
635,-9
636,-8.8
637,-8.3
638,-8.9
639,-9.2
640,-9.3
641,-9.6
642,-8.9
643,-9.1
644,-9
645,-8.7
646,-8.7
647,-9.3
648,-9.4
649,-10.4
650,-9.6
651,-8.6
652,-9
653,-9.5
654,-7.9
655,-9.3
656,-10.1
657,-8.8
658,-8
659,-9.5
660,-9.1
661,-8.6
662,-8
663,-9.2
664,-8.9
665,-8.6
666,-8.2
667,-8.6
668,-8.1
669,-9.1
670,-9.1
671,-8.4
672,-8.6
673,-8.9
674,-9.4
675,-9
676,-9.3
677,-9.9
678,-8.4
679,-8.3
680,-9.1
681,-9.1
682,-8.8
683,-7.2
684,-8.9
685,-8.5
686,-7.3
687,-9.4
688,-8.9
689,-8.7
690,-9.8
691,-7.9
692,-8.9
693,-9
694,-9.9
695,-9.5
696,-9.7
697,-9.1
698,-9.6
699,-8.5
700,-9.8
701,-9.1
702,-8.6
703,-8.6
704,-9.4
705,-9.2
706,-8.9
707,-7.9
708,-8.9
709,-9.7
710,-10.4
711,-10
712,-9
713,-9.1
714,-9.6
715,-9.3
716,-7.7
717,-8.7
718,-8.9
719,-8
720,-8.3
